ID,externalOrderRef,customerRef,customerName,companyCode,distributionCenter,receivedDate,status_code,signalStatus,notes,returnAmount,proposedClearing,createdAt,createdBy,modifiedAt,modifiedBy
a1b2c301-0001-4001-a001-000000000001,SO-2025-00312,NORD-US-0452,Nordstrom – Beverly Hills,1000,DC03,2025-01-08,MATCHED,PENDING,,495.00,495.00,2025-01-08T09:00:00.000Z,system@tapestry.com,2025-01-08T09:00:00.000Z,system@tapestry.com
a1b2c302-0002-4002-a002-000000000002,SO-2025-00318,BLMD-US-0601,Bloomingdale's – 59th Street NYC,1001,DC01,2025-01-10,MATCHED,PENDING,,398.00,398.00,2025-01-10T10:15:00.000Z,system@tapestry.com,2025-01-10T10:15:00.000Z,system@tapestry.com
a1b2c303-0003-4003-a003-000000000003,SO-2025-00325,SAKF-US-0100,Saks Fifth Avenue – New York,1000,DC01,2025-01-14,MATCHED,SENT,,790.00,790.00,2025-01-14T08:30:00.000Z,system@tapestry.com,2025-01-14T08:30:00.000Z,system@tapestry.com
a1b2c304-0004-4004-a004-000000000004,SO-2025-00331,NMAR-US-0305,Neiman Marcus – NorthPark Dallas,1001,DC01,2025-01-17,MATCHED,PENDING,,248.00,248.00,2025-01-17T11:00:00.000Z,system@tapestry.com,2025-01-17T11:00:00.000Z,system@tapestry.com
a1b2c305-0005-4005-a005-000000000005,SO-2025-00340,ZAPPOS-ONLINE,Zappos.com – Online Returns,1000,DC02,2025-01-22,MATCHED,PENDING,,250.00,250.00,2025-01-22T14:00:00.000Z,system@tapestry.com,2025-01-22T14:00:00.000Z,system@tapestry.com
a1b2c306-0006-4006-a006-000000000006,SO-2025-00352,MCYS-US-0412,Macy's – State Street Chicago,1001,DC02,2025-01-24,MATCHED,PENDING,,256.00,256.00,2025-01-24T09:45:00.000Z,system@tapestry.com,2025-01-24T09:45:00.000Z,system@tapestry.com
a1b2c307-0007-4007-a007-000000000007,SO-2025-00361,COACH-BQ-0088,Coach Boutique – SoHo New York,1000,DC01,2025-01-28,MATCHED,PENDING,,350.00,350.00,2025-01-28T10:30:00.000Z,system@tapestry.com,2025-01-28T10:30:00.000Z,system@tapestry.com
a1b2c308-0008-4008-a008-000000000008,SO-2025-00374,KATE-ST-0044,Kate Spade – Rockefeller Center NYC,1001,DC01,2025-02-03,MATCHED,PENDING,,299.00,299.00,2025-02-03T13:00:00.000Z,system@tapestry.com,2025-02-03T13:00:00.000Z,system@tapestry.com
a1b2c309-0009-4009-a009-000000000009,SO-2025-00383,NORD-US-0452,Nordstrom – Beverly Hills,1000,DC03,2025-02-05,PARTIAL,PENDING,Return authorisation for 2 units — only 1 unit received at dock,495.00,495.00,2025-02-05T08:00:00.000Z,system@tapestry.com,2025-02-05T08:00:00.000Z,system@tapestry.com
a1b2c310-0010-4010-a010-000000000010,SO-2025-00391,BLMD-US-0601,Bloomingdale's – 59th Street NYC,1001,DC01,2025-02-07,PARTIAL,PENDING,Kate Spade Morgan Tote received with damaged zipper pull — condition mismatch on 1 of 2 units,348.00,348.00,2025-02-07T09:30:00.000Z,system@tapestry.com,2025-02-07T09:30:00.000Z,system@tapestry.com
